sample id	diff	reps
#q2:types	categorical	categorical
s0	0	0
s1	0	1
s2	0	2
s3	0	3
s4	0	4
s5	0	5
s6	0	6
s7	0	7
s8	0	8
s9	0	9
s10	0	10
s11	0	11
s12	0	12
s13	0	13
s14	0	14
s15	0	15
s16	0	16
s17	0	17
s18	0	18
s19	0	19
s20	0	20
s21	0	21
s22	0	22
s23	0	23
s24	0	24
s25	0	25
s26	0	26
s27	0	27
s28	0	28
s29	0	29
s30	0	30
s31	0	31
s32	0	32
s33	0	33
s34	0	34
s35	0	35
s36	0	36
s37	0	37
s38	0	38
s39	0	39
s40	0	40
s41	0	41
s42	0	42
s43	0	43
s44	0	44
s45	0	45
s46	0	46
s47	0	47
s48	0	48
s49	0	49
s50	1	0
s51	1	1
s52	1	2
s53	1	3
s54	1	4
s55	1	5
s56	1	6
s57	1	7
s58	1	8
s59	1	9
s60	1	10
s61	1	11
s62	1	12
s63	1	13
s64	1	14
s65	1	15
s66	1	16
s67	1	17
s68	1	18
s69	1	19
s70	1	20
s71	1	21
s72	1	22
s73	1	23
s74	1	24
s75	1	25
s76	1	26
s77	1	27
s78	1	28
s79	1	29
s80	1	30
s81	1	31
s82	1	32
s83	1	33
s84	1	34
s85	1	35
s86	1	36
s87	1	37
s88	1	38
s89	1	39
s90	1	40
s91	1	41
s92	1	42
s93	1	43
s94	1	44
s95	1	45
s96	1	46
s97	1	47
s98	1	48
s99	1	49
